values,time
20.90707,2021-03-12T23:24:17Z
17.00083,2021-03-12T23:25:16Z
19.0017,2021-03-12T23:25:26Z
18.00343,2021-03-12T23:26:06Z
17.00083,2021-03-12T23:26:16Z
21.00256,2021-03-12T23:26:56Z
17.00083,2021-03-12T23:27:37Z
21.00256,2021-03-12T23:28:17Z
19.99996,2021-03-12T23:28:47Z
17.00083,2021-03-12T23:29:07Z
19.99996,2021-03-12T23:29:37Z
17.00083,2021-03-12T23:30:18Z
16.00257,2021-03-12T23:30:28Z
19.99996,2021-03-12T23:30:48Z
16.00257,2021-03-12T23:31:38Z
19.99996,2021-03-12T23:32:08Z
17.00083,2021-03-12T23:33:09Z
19.99996,2021-03-12T23:33:39Z
16.00257,2021-03-12T23:34:19Z
17.00083,2021-03-12T23:34:29Z
19.99996,2021-03-12T23:34:49Z
16.00257,2021-03-12T23:35:20Z
21.00256,2021-03-12T23:36:10Z
16.00257,2021-03-12T23:37:00Z
19.99996,2021-03-12T23:37:20Z
17.00083,2021-03-12T23:38:01Z
19.0017,2021-03-12T23:38:31Z
19.99996,2021-03-12T23:38:51Z
17.00083,2021-03-12T23:39:31Z
19.0017,2021-03-12T23:40:01Z
18.00343,2021-03-12T23:40:31Z
19.99996,2021-03-12T23:41:42Z
17.00083,2021-03-12T23:42:02Z
18.00343,2021-03-12T23:42:52Z
17.00083,2021-03-12T23:43:23Z
19.99996,2021-03-12T23:43:33Z
18.00343,2021-03-12T23:44:33Z
19.99996,2021-03-12T23:45:13Z
18.00343,2021-03-12T23:45:53Z
19.99996,2021-03-12T23:46:14Z
17.00083,2021-03-12T23:47:14Z
18.00343,2021-03-12T23:47:44Z
17.00083,2021-03-12T23:48:14Z
19.0017,2021-03-12T23:48:55Z
21.00256,2021-03-12T23:49:25Z
18.00343,2021-03-12T23:49:45Z
19.99996,2021-03-12T23:50:25Z
18.00343,2021-03-12T23:50:55Z
17.00083,2021-03-12T23:51:36Z
18.00343,2021-03-12T23:53:06Z
17.00083,2021-03-12T23:53:36Z
18.00343,2021-03-12T23:55:17Z
17.00083,2021-03-12T23:55:37Z
18.00343,2021-03-12T23:56:07Z
17.00083,2021-03-12T23:56:37Z
18.00343,2021-03-12T23:56:58Z
17.00083,2021-03-12T23:57:28Z
16.00257,2021-03-12T23:59:08Z
17.00083,2021-03-13T00:00:39Z
16.00257,2021-03-13T00:01:09Z
17.00083,2021-03-13T00:01:59Z
16.00257,2021-03-13T00:02:10Z
17.00083,2021-03-13T00:02:40Z
16.00257,2021-03-13T00:03:10Z
17.00083,2021-03-13T00:05:21Z
16.00257,2021-03-13T00:06:01Z
17.00083,2021-03-13T00:07:52Z
16.00257,2021-03-13T00:08:02Z
17.00083,2021-03-13T00:08:32Z
16.00257,2021-03-13T00:10:13Z
17.00083,2021-03-13T00:10:23Z
16.00257,2021-03-13T00:11:33Z
17.00083,2021-03-13T00:12:13Z
18.00343,2021-03-13T00:12:23Z
17.00083,2021-03-13T00:13:44Z
18.00343,2021-03-13T00:14:14Z
17.00083,2021-03-13T00:15:24Z
18.00343,2021-03-13T00:18:46Z
17.00083,2021-03-13T00:19:06Z
18.00343,2021-03-13T00:20:16Z
17.00083,2021-03-13T00:20:26Z
18.00343,2021-03-13T00:22:17Z
17.00083,2021-03-13T00:22:37Z
19.99996,2021-03-13T00:23:17Z
19.0017,2021-03-13T00:23:58Z
19.99996,2021-03-13T00:24:48Z
19.0017,2021-03-13T00:24:58Z
19.0017,2021-03-13T00:26:08Z
19.99996,2021-03-13T00:26:39Z
18.00343,2021-03-13T00:27:29Z
19.0017,2021-03-13T00:27:49Z
19.99996,2021-03-13T00:27:59Z
18.00343,2021-03-13T00:28:39Z
19.99996,2021-03-13T00:30:10Z
19.0017,2021-03-13T00:30:40Z
19.99996,2021-03-13T00:30:50Z
19.0017,2021-03-13T00:31:30Z
18.00343,2021-03-13T00:32:31Z
19.0017,2021-03-13T00:32:41Z
19.99996,2021-03-13T00:33:11Z
17.00083,2021-03-13T00:33:31Z
19.0017,2021-03-13T00:33:41Z
19.99996,2021-03-13T00:34:42Z
19.0017,2021-03-13T00:35:02Z
18.00343,2021-03-13T00:35:22Z
19.99996,2021-03-13T00:36:02Z
19.0017,2021-03-13T00:36:12Z
18.00343,2021-03-13T00:36:42Z
16.00257,2021-03-13T00:38:03Z
18.00343,2021-03-13T00:38:53Z
17.00083,2021-03-13T00:40:14Z
16.00257,2021-03-13T00:41:14Z
17.00083,2021-03-13T00:41:54Z
18.00343,2021-03-13T00:42:35Z
19.0017,2021-03-13T00:43:15Z
18.00343,2021-03-13T00:43:35Z
17.00083,2021-03-13T00:49:37Z
18.00343,2021-03-13T00:51:38Z
17.00083,2021-03-13T00:52:08Z
18.00343,2021-03-13T00:54:39Z
17.00083,2021-03-13T00:54:59Z
18.00343,2021-03-13T00:56:40Z
17.00083,2021-03-13T00:57:10Z
16.00257,2021-03-13T00:58:41Z
17.00083,2021-03-13T00:59:11Z
16.00257,2021-03-13T00:59:21Z
18.00343,2021-03-13T00:59:51Z
19.0017,2021-03-13T01:01:32Z
18.00343,2021-03-13T01:02:02Z
19.99996,2021-03-13T01:03:32Z
19.0017,2021-03-13T01:04:23Z
19.99996,2021-03-13T01:05:13Z
19.0017,2021-03-13T01:06:33Z
19.99996,2021-03-13T01:07:34Z
19.0017,2021-03-13T01:13:46Z
19.99996,2021-03-13T01:13:56Z
18.00343,2021-03-13T01:15:37Z
17.00083,2021-03-13T01:15:57Z
19.0017,2021-03-13T01:16:27Z
17.00083,2021-03-13T01:16:47Z
18.00343,2021-03-13T01:16:57Z
17.00083,2021-03-13T01:19:28Z
16.00257,2021-03-13T01:25:00Z
17.00083,2021-03-13T01:25:21Z
18.00343,2021-03-13T01:31:03Z
17.00083,2021-03-13T01:32:33Z
18.00343,2021-03-13T01:32:43Z
17.00083,2021-03-13T01:33:03Z
18.00343,2021-03-13T01:35:54Z
17.00083,2021-03-13T01:36:05Z
18.00343,2021-03-13T01:36:15Z
17.00083,2021-03-13T01:36:55Z
19.0017,2021-03-13T01:42:17Z
18.00343,2021-03-13T01:42:57Z
17.00083,2021-03-13T01:45:58Z
18.00343,2021-03-13T01:46:18Z
19.99996,2021-03-13T01:47:09Z
19.0017,2021-03-13T01:52:11Z
19.99996,2021-03-13T01:52:31Z
19.0017,2021-03-13T01:53:01Z
19.99996,2021-03-13T01:53:11Z
19.99996,2021-03-13T01:53:51Z
19.0017,2021-03-13T01:56:32Z
18.00343,2021-03-13T01:56:52Z
17.00083,2021-03-13T01:57:43Z
18.00343,2021-03-13T02:03:35Z
17.00083,2021-03-13T02:04:05Z
16.00257,2021-03-13T02:05:36Z
17.00083,2021-03-13T02:05:46Z
16.00257,2021-03-13T02:13:28Z
17.00083,2021-03-13T02:13:38Z
16.00257,2021-03-13T02:14:09Z
17.00083,2021-03-13T02:14:19Z
16.00257,2021-03-13T02:15:39Z
17.00083,2021-03-13T02:15:49Z
16.00257,2021-03-13T02:17:00Z
17.00083,2021-03-13T02:17:20Z
16.00257,2021-03-13T02:18:40Z
17.00083,2021-03-13T02:19:21Z
18.00343,2021-03-13T02:21:41Z
17.00083,2021-03-13T02:22:02Z
18.00343,2021-03-13T02:23:12Z
19.99996,2021-03-13T02:23:32Z
18.00343,2021-03-13T02:23:52Z
19.0017,2021-03-13T02:24:53Z
18.00343,2021-03-13T02:25:03Z
19.0017,2021-03-13T02:25:23Z
18.00343,2021-03-13T02:26:13Z
21.00256,2021-03-13T02:29:14Z
19.99996,2021-03-13T02:29:54Z
19.0017,2021-03-13T02:37:17Z
18.00343,2021-03-13T02:37:47Z
19.0017,2021-03-13T02:37:57Z
17.00083,2021-03-13T02:38:48Z
17.00083,2021-03-13T02:48:48Z
18.00343,2021-03-13T02:48:51Z
17.00083,2021-03-13T02:50:12Z
18.00343,2021-03-13T02:51:12Z
19.0017,2021-03-13T02:51:22Z
17.00083,2021-03-13T02:51:42Z
18.00343,2021-03-13T02:52:03Z
18.00343,2021-03-13T02:53:03Z
17.00083,2021-03-13T02:53:13Z
18.00343,2021-03-13T02:54:34Z
17.00083,2021-03-13T02:54:54Z
18.00343,2021-03-13T02:55:44Z
19.0017,2021-03-13T02:56:44Z
18.00343,2021-03-13T02:57:04Z
19.0017,2021-03-13T02:58:05Z
18.00343,2021-03-13T02:59:25Z
19.99996,2021-03-13T03:00:06Z
19.0017,2021-03-13T03:01:26Z
18.00343,2021-03-13T03:01:46Z
19.99996,2021-03-13T03:02:06Z
19.99996,2021-03-13T03:02:47Z
19.0017,2021-03-13T03:03:37Z
19.99996,2021-03-13T03:04:17Z
18.00343,2021-03-13T03:04:37Z
19.0017,2021-03-13T03:04:47Z
18.00343,2021-03-13T03:05:18Z
19.99996,2021-03-13T03:06:08Z
19.0017,2021-03-13T03:06:38Z
19.99996,2021-03-13T03:06:48Z
19.0017,2021-03-13T03:08:29Z
21.00256,2021-03-13T03:08:49Z
22.00082,2021-03-13T03:11:10Z
21.00256,2021-03-13T03:11:20Z
